Chip and Device,V1_MaxPulse_Voltage_V,Number_of_Pulses,Applied_energy_J,Average_Power_P,Pth_Vth_times_Ith,Ith_Trigger_Current,Vth_TriggerVoltage,N_scale,ton,toff,T_total_period,n_P_over_Pth,Rb_Resistance_Before,Ra_minus_Rb_over_Rb_percent,Ra_minus_Rb,Pulse file,Rbefore file name,Rafter,R Em file name,Ycat,Prediction,c,source,NI
D11_zA221,100.0,1.0,1.35e-06,0.000865,0.00109,7e-05,15.6,10.0,0.00156,0.0,0.00156,0.793577982,333000.0,14600000000.0,100.0,,zA0221_D11__70E-6_10_0305.csv_1,,,1.0,1.0,0.0,training,
D21_zA219,53.6,1.0,3.31e-08,0.0025,2.68e-06,1e-06,2.68,20.0,1.32e-05,0.0,1.32e-05,934.41,3270000.0,-63.5,-1270000.0,zA0219_D21_0221_1e-6_20.csv_1,zA0219_D21_0221_IV.csv_1,zA0219_D21_0221_1e-6_20.csv_2,zA0219_D21_0221_1e-6_20_IV.csv_1,7.0,7.0,0.0,training,
D21_zA221REWASHED,28.0,1.0,5.88e-07,0.000588,2.8e-06,1e-06,2.8,10.0,0.001,0.0,0.001,210.0,3380000.0,-45.1,-1050000.0,zA0221rewashed_D22_0313.csv_1,zA0221rewashed_D22_0313_IV.csv_1,zA0221rewashed_D22_0313.csv_2,zA0221rewashed_D22_0313_IV.csv_2,7.0,7.0,0.0,training,
D21_zA221REWASHED,80.0,1.0,0.000523,0.00523,0.00032,4e-05,8.0,10.0,0.1,0.0,0.1,16.34,3110000.0,0.321,10000.0,zA0221REWASHED_D21_0416_10_40uA.csv_1,zA0221REWASHED_D21_0416.csv_1.csv,,,4.0,4.0,0.0,training,
D21_zA221REWASHED,100.0,1.0,0.00114,0.0114,8e-06,4e-05,0.2,500.0,0.1,0.0,0.1,1425.0,2290000.0,28.4,910000.0,zA0221rewashed_D22_0313_40uA_500_pulse.csv_1,,zA0221rewashed_D22_0313_40uA_500_pulse.csv_2.csv_1,zA0221rewashed_D22_0313_5uA_100.csv_1,3.0,3.0,0.0,training,
D22_zA216,176.805,1.0,0.000173,0.0562,1.77e-05,1e-06,17.6805,10.0,0.00308,0.0,0.00308,3180.85,7750000.0,42.6,5750000.0,zA0216_D22_0204_NOISE_10.csv_1,zA0216_D22_0204_NOISE_IV.csv_1,zA0216_D22_0204_NOISE_10.csv_2,zA0216_D22_0204_NOISE_10_IV.csv_1,2.0,2.0,0.0,training,
D22_zA216,187.945,1.0,0.000212,0.0687,9.4e-06,1e-06,9.39725,20.0,0.00309,0.0,0.00309,7307.35,11200000.0,61.9,18200000.0,zA0216_D22_0204_NOISE_20.csv_1,,zA0216_D22_0204_NOISE_20.csv_2,zA0216_D22_0204_NOISE_20_IV.csv_1,2.0,2.0,0.0,training,
D22_zA216,200.0,1.0,0.000446,0.0903,6.67e-06,1e-06,6.666666667,30.0,0.00494,0.0,0.00494,13539.6,10200000.0,90.9,101000000.0,zA0216_D21_0204_NOISE_30.csv_1,,zA0216_D21_0204_NOISE_30.csv_2,zA0216_D21_0204_NOISE_30_IV.csv_1,2.0,2.0,0.0,training,
D22_zA216,200.0,1.0,0.000719,0.0909,4e-06,1e-06,4.0,50.0,0.00791,0.0,0.00791,22719.25,7940000.0,-7.73,-570000.0,zA0216_D22_0204_NOISE_50.csv_1,,zA0216_D22_0204_NOISE_50.csv_2,zA0216_D22_0204_NOISE_50_IV.csv_1,6.0,6.0,0.0,training,
D22_zA216,200.0,1.0,0.00268,0.0937,4e-06,1e-06,4.0,50.0,0.0286,0.0,0.0286,23419.75,7540000.0,11.9,1020000.0,zA0216_D22_0204_NOISE2u_50.csv_1,,,zA0216_D22_0204_NOISE2u_50_IV.csv_1,3.0,3.0,0.0,training,
D22_zA216,200.0,1.0,0.00355,0.0938,3.33e-06,1e-06,3.333333333,60.0,0.0378,0.0,0.0378,28150.2,9200000.0,-33.1,-2290000.0,zA0216_D22_0204_NOISE_60.csv_1,,zA0216_D22_0204_NOISE_60.csv_2,zA0216_D22_0204_NOISE_60_IV.csv_1,7.0,7.0,0.0,training,
D22_zA216,200.0,1.0,0.00672,0.0672,2.86e-06,1e-06,2.857142857,70.0,0.1,0.0,0.1,23534.0,7330000.0,6.15,480000.0,zA0216_D22_0204_NOISE_70.csv_1,,zA0216_D22_0204_NOISE_70.csv_2,,3.0,3.0,0.0,training,
